Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,DistanceToDowntown,Log_TotalGHGEmissions
DOWNTOWN,Bâtiments de Vente et de Services,1925.0,1.0,10.0,693450.0,93.0,0.834013711282637,5.98943749402335
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1976.0,1.0,33.0,791396.0,89.0,0.907357484352722,5.750347943803522
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2000.0,1.0,23.0,542671.0,90.0,1.0056130324883759,5.88640954033312
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1926.0,1.0,10.0,55652.0,90.0,0.9775962036117958,5.144641573943989
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1930.0,1.0,17.0,174790.0,91.0,0.9837064823193604,4.617691466541763
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1916.0,1.0,5.0,73399.0,61.0,0.9042320632775912,3.3028492586443794
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1969.0,1.0,20.0,233517.0,90.0,1.0265969543632494,6.335497415697645
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2009.0,1.0,25.0,529375.0,95.0,1.228363575296688,5.439165675135416
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1968.0,1.0,12.0,206000.0,91.0,1.3876182458257516,5.408023426636094
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2009.0,1.0,36.0,669915.0,97.0,1.1833943809981855,5.622355475960472
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1990.0,1.0,16.0,339240.0,94.0,1.1290005652185096,4.880754373241736
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,7.0,89550.0,85.0,0.26243247494373967,3.964046033495298
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,6.0,89355.0,66.0,0.31399890430588384,3.49559805708364
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1922.0,1.0,15.0,388934.0,89.0,0.16612132157566206,5.367050204229129
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1929.0,1.0,22.0,384302.0,98.0,0.1502370429105262,4.264790324535862
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1983.0,1.0,47.0,1323055.0,94.0,0.05063691673978152,5.768227241398966
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1986.0,1.0,41.0,460489.0,84.0,0.13509377424283028,5.150513171779642
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1950.0,1.0,6.0,89699.0,,0.17740179276297124,3.861992071822581
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1968.0,1.0,8.0,94948.0,81.0,0.24524973145750903,3.299533727885655
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1991.0,1.0,29.0,438072.0,95.0,0.2673809164336684,4.946772100429302
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1980.0,1.0,34.0,614158.0,81.0,0.21483386075238944,5.448115731636431
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1972.0,1.0,14.0,162993.0,95.0,0.20206323150005695,5.391488897435831
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1969.0,1.0,49.0,754455.0,89.0,0.1281892615192152,6.443924558074251
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2002.0,1.0,37.0,888049.0,93.0,0.06131572439132687,5.664070974419973
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1973.0,1.0,42.0,446184.0,28.0,0.1942700103341139,6.3056363967697555
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1907.0,1.0,8.0,201480.0,91.0,0.08162094769803738,5.175867206791472
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1990.0,1.0,63.0,1195387.0,89.0,0.2796303405883884,6.0644129186132485
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2001.0,1.0,14.0,310490.0,,0.3433224637793253,5.943770032495302
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2003.0,1.0,8.0,168870.0,69.0,0.32342134017863805,5.702481628923153
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2006.0,1.0,13.0,319539.0,98.0,0.47263098400612463,5.381002733166644
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1909.0,1.0,7.0,106099.0,99.0,0.5359213717782795,4.26507138131118
NORTHEAST,Bâtiments de Vente et de Services,1978.0,1.0,2.0,89200.0,83.0,6.336535441412469,4.50501830403765
NORTHEAST,Bâtiments Commerciaux et Administratifs,1971.0,1.0,23.0,474546.0,77.0,6.355135458378518,5.29501190953931
NORTHEAST,Bâtiments Autres,1969.0,1.0,5.0,36000.0,96.0,6.334464586501841,5.3490580082512205
NORTHEAST,Bâtiments Commerciaux et Administratifs,1961.0,1.0,5.0,99005.0,70.0,6.359757060200648,4.787741711537254
NORTHEAST,Bâtiments Commerciaux et Administratifs,2002.0,1.0,6.0,90803.0,88.0,6.312084872397068,3.4613513044819024
NORTHEAST,Bâtiments Commerciaux et Administratifs,2002.0,1.0,5.0,137929.0,93.0,6.232442440948611,3.9144201300278674
DOWNTOWN,Bâtiments Industriels et de Stockage,1964.0,1.0,5.0,93660.0,,1.215037935066038,1.958685340544036
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1980.0,1.0,18.0,349055.0,79.0,1.235528950513338,5.13509230544507
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1979.0,1.0,24.0,427155.0,79.0,1.2289753337146283,5.178576164935488
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1982.0,1.0,6.0,272410.0,64.0,2.0158595800013037,4.9624949187683205
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2002.0,1.0,6.0,203880.0,74.0,1.4361330179890126,4.653674595047707
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1947.0,1.0,3.0,144118.0,94.0,1.5907941848116383,3.8507856959569566
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1984.0,1.0,8.0,191117.0,3.0,2.239886067018415,5.346107030383885
NORTHWEST,Bâtiments de Vente et de Services,1956.0,1.0,1.0,60880.0,54.0,11.007668592526535,5.953944387194059
