Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,DistanceToDowntown,proportion_surface_parking,proportion_surface_building,Log_SiteEnergyUseWN(kBtu)
NORTHEAST,Bâtiments Commerciaux et Administratifs,1971.0,1.0,23.0,77.0,6.355135458378518,0.0,1.0,17.216620635815563
NORTHEAST,Bâtiments Autres,1969.0,1.0,5.0,96.0,6.334464586501841,0.0,1.0,17.21799015057585
NORTHEAST,Bâtiments Commerciaux et Administratifs,1961.0,1.0,5.0,70.0,6.359757060200648,0.0,1.0,15.426572051676704
NORTHEAST,Bâtiments Commerciaux et Administratifs,2002.0,1.0,6.0,88.0,6.312084872397068,0.32763918815854753,0.6723608118414525,15.30303775257093
NORTHEAST,Bâtiments Commerciaux et Administratifs,2002.0,1.0,5.0,93.0,6.232442440948611,0.37489406251557905,0.625105937484421,15.768019813512101
DOWNTOWN,Bâtiments Industriels et de Stockage,1964.0,1.0,5.0,,1.215037935066038,0.0,1.0,13.754018259043661
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1980.0,1.0,18.0,79.0,1.235528950513338,0.156291166624367,0.843708833375633,17.002891133687264
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1979.0,1.0,24.0,79.0,1.2289753337146283,0.2146095801248814,0.7853904198751186,17.079138959284712
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1982.0,1.0,6.0,64.0,2.0158595800013037,0.31318168753435227,0.6868183124656477,16.820159013962865
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2002.0,1.0,6.0,74.0,1.4361330179890126,0.2907806352640788,0.7092193647359212,16.517772371964202
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1947.0,1.0,3.0,94.0,1.5907941848116383,0.25184031563100245,0.7481596843689976,15.53284941642866
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1984.0,1.0,8.0,3.0,2.239886067018415,0.244904248468015,0.755095751531985,17.21501480708614
NORTHWEST,Bâtiments de Vente et de Services,1956.0,1.0,1.0,54.0,11.007668592526535,0.0,1.0,16.505856696242738
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,5.0,77.0,0.32724891032346354,0.0,1.0,14.891635132715399
