Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,DistanceToDowntown,Log_SiteEnergyUseWN(kBtu)
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1947.0,1.0,3.0,144118.0,94.0,1.5907941848116383,15.53284941642866
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1984.0,1.0,8.0,191117.0,3.0,2.239886067018415,17.21501480708614
NORTHWEST,Bâtiments de Vente et de Services,1956.0,1.0,1.0,60880.0,54.0,11.007668592526535,16.505856696242738
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,5.0,50176.0,77.0,0.32724891032346354,14.891635132715399
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1912.0,1.0,42.0,304346.0,72.0,0.3650196658351832,17.02961457584907
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1977.0,1.0,1.0,128800.0,97.0,7.159364939274908,14.556948134973423
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1927.0,1.0,8.0,321945.0,76.0,0.47934929370669194,16.459722437176637
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1964.0,1.0,22.0,336330.0,77.0,0.38105943242854623,16.797677993698066
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1960.0,1.0,21.0,298426.0,79.0,0.4433603973469184,17.167513808873483
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1976.0,1.0,42.0,635824.0,69.0,0.4482064958647065,17.696661672827616
DOWNTOWN,Bâtiments d'Hébergement,1923.0,1.0,12.0,542305.0,45.0,0.33738128121263966,17.859460316771735
SOUTHEAST,Bâtiments de Vente et de Services,1980.0,1.0,2.0,291940.0,80.0,3.9409054367377174,16.30706713125117
NORTHWEST,Bâtiments Industriels et de Stockage,1960.0,1.0,1.0,52311.0,96.0,13.834124329561039,13.919093807720277
LAKE UNION,Bâtiments Autres,2009.0,1.0,5.0,71421.0,,2.0407467609007846,14.942326361955333
LAKE UNION,Bâtiments Commerciaux et Administratifs,2001.0,1.0,5.0,106465.0,60.0,2.058624349641813,15.573956233787392
BALLARD,Bâtiments Industriels et de Stockage,1973.0,1.0,1.0,52500.0,2.0,6.468150066200342,15.26098567549904
BALLARD,Bâtiments Industriels et de Stockage,1959.0,1.0,2.0,57300.0,55.0,7.782338926474699,15.443796818986016
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1916.0,1.0,6.0,350310.0,90.0,1.7639032122506633,16.711534478916036
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1988.0,1.0,55.0,1115000.0,92.0,0.31051646678973316,17.825391422377088
DOWNTOWN,Bâtiments d'Hébergement,1930.0,1.0,21.0,305548.0,58.0,0.5191076777648803,17.357262524299404
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1989.0,1.0,46.0,1023998.0,89.0,0.6196839722633379,17.88465431390413
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1958.0,1.0,10.0,135918.0,91.0,0.5621062016132011,15.728250833415018
DOWNTOWN,Bâtiments de Vente et de Services,1914.0,1.0,4.0,79957.0,25.0,0.753405247629825,15.458679140808018
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1983.0,1.0,29.0,500000.0,93.0,0.7007591763210111,16.772999436633864
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1926.0,1.0,10.0,132326.0,72.0,0.5907785458421287,15.631424690235736
